step,time_s,command_x,base_vel_x,base_vel_y,base_vel_yaw,base_height,base_pos_x,base_pos_y,base_yaw,foot_z_l,foot_z_r,foot_force_l,foot_force_r,foot_yaw_l,foot_yaw_r,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,dof_torque_0,dof_torque_1,dof_torque_2,dof_torque_3,dof_torque_4,dof_torque_5,dof_torque_6,dof_torque_7,dof_torque_8,dof_torque_9,dof_torque_10,dof_torque_11
10,0.1,0.20000000298023224,-0.02383676916360855,0.18805107474327087,0.23831668496131897,0.629531741142273,-0.0011580483987927437,0.009956183843314648,0.009101717732846737,0.07426735758781433,0.05951124429702759,0.0,1265.0142822265625,0.12551474571228027,0.07651996612548828,0.4941943287849426,0.10998883098363876,-0.2815414369106293,0.6252716183662415,-0.3817759156227112,-0.016787393018603325,-0.3726837933063507,0.15895187854766846,0.36805567145347595,0.40383660793304443,-0.07305875420570374,-0.3482300937175751,0.023768099024891853,0.1462339609861374,-0.5213541984558105,0.2083028107881546,-0.449851393699646,-0.42498230934143066,-2.97251558303833,1.4784674644470215,4.915821552276611,-0.042624086141586304,15.198513984680176,17.881574630737305,7.762390613555908,6.933650493621826,-2.9913432598114014,6.547718048095703,-0.8364628553390503,-0.6901109218597412,19.82786750793457,5.663231372833252,-18.22718048095703,14.578200340270996,-0.864115834236145,-15.747167587280273
11,0.11,0.20000000298023224,-0.026445332914590836,0.366227388381958,0.5611118674278259,0.6218553185462952,-0.0009622485376894474,0.01306125521659851,0.013465257361531258,0.06651601195335388,0.05469632148742676,0.0,1752.60009765625,0.12912392616271973,0.09361910820007324,0.4914906620979309,0.10979758203029633,-0.28471046686172485,0.6236259341239929,-0.3879058063030243,-0.0195818692445755,-0.38949042558670044,0.17477691173553467,0.39851757884025574,0.41953495144844055,-0.07013339549303055,-0.20530495047569275,-0.31873124837875366,0.025853613391518593,-0.34057921171188354,-0.23672762513160706,-0.5036991834640503,0.11826040595769882,-1.943415641784668,2.126898765563965,4.0739288330078125,-0.3796398639678955,11.433165550231934,25.377803802490234,5.226535320281982,-0.37340494990348816,-2.5549652576446533,-1.7731146812438965,-0.577669084072113,0.11586293578147888,0.9596859216690063,0.7436925768852234,0.7473932504653931,-32.29082489013672,13.310724258422852,-12.295705795288086
12,0.12,0.20000000298023224,-0.012812959961593151,0.48253753781318665,0.4061864912509918,0.6160537004470825,-0.00013588136062026024,0.01705545000731945,0.018481267616152763,0.05950111150741577,0.05276017636060715,0.0,530.560791015625,0.1280193328857422,0.014986991882324219,0.4842572510242462,0.10768019407987595,-0.2850899398326874,0.6109041571617126,-0.3793843388557434,-0.04736661911010742,-0.3980373442173004,0.18948470056056976,0.41131240129470825,0.444443941116333,-0.17787374556064606,-0.05730468034744263,-0.7409026026725769,-0.28381985425949097,-0.04080725088715553,-1.4425511360168457,0.18270093202590942,-1.8730194568634033,-0.65901780128479,1.7066633701324463,-1.4162766933441162,2.590223789215088,-14.811281204223633,11.043363571166992,-1.1462461948394775,-4.265839099884033,-2.318974494934082,-16.621458053588867,-0.22228094935417175,-1.097572684288025,-0.29853782057762146,-11.100259780883789,11.496145248413086,-21.779813766479492,11.377443313598633,-19.029006958007812
13,0.13,0.20000000298023224,-0.004746840801090002,0.5012595653533936,0.20799270272254944,0.6108486652374268,0.0006586727686226368,0.021002767607569695,0.02092084474861622,0.052435971796512604,0.050674304366111755,168.89085388183594,206.60267639160156,0.08539533615112305,-0.04250907897949219,0.4768281579017639,0.10299724340438843,-0.2797410488128662,0.5929079055786133,-0.32255715131759644,-0.07990086823701859,-0.40233826637268066,0.1984555572271347,0.40678122639656067,0.4618225693702698,-0.25237247347831726,0.002615462988615036,-0.4921976923942566,-0.21877115964889526,0.765358567237854,-1.2219712734222412,9.967522621154785,0.1058349609375,-0.2109433114528656,0.40090489387512207,-0.5617498755455017,1.351008653640747,-5.430902004241943,0.2382623255252838,-2.90191650390625,0.5717213153839111,-3.313812732696533,-27.780046463012695,-7.613142013549805,-5.552918434143066,-4.357101917266846,-15.767987251281738,0.46118611097335815,-8.541489601135254,7.581662178039551,-10.858258247375488
14,0.14,0.20000000298023224,0.007327506318688393,0.5393798351287842,0.30244579911231995,0.6060677170753479,0.0016506011597812176,0.025040732696652412,0.02350451983511448,0.046196967363357544,0.04864567518234253,225.88734436035156,178.11273193359375,0.00884103775024414,-0.022693872451782227,0.4668962359428406,0.10376430302858353,-0.2698819935321808,0.5798713564872742,-0.24004842340946198,-0.036498796194791794,-0.4034777879714966,0.20583167672157288,0.40796229243278503,0.46908318996429443,-0.2410067766904831,0.08265739679336548,-1.1718335151672363,0.1711503267288208,0.825614333152771,-1.0955009460449219,7.114869117736816,5.967106819152832,0.4703733026981354,0.42447465658187866,-0.3139913082122803,0.4162737727165222,2.5697755813598633,3.82137393951416,2.2860970497131348,-2.4052398204803467,-0.47359752655029297,-37.32722473144531,-11.231728553771973,-6.849530220031738,-1.1202598810195923,-13.99530029296875,-6.269878387451172,-2.11543345451355,1.6297204494476318,-13.361926078796387
15,0.15,0.20000000298023224,0.01153507363051176,0.5226905941963196,0.31516313552856445,0.6018484234809875,0.0028730975463986397,0.028853122144937515,0.0259949192404747,0.0405920147895813,0.04713156074285507,1561.1107177734375,243.93121337890625,-0.025489091873168945,-0.017993688583374023,0.45076772570610046,0.10616199672222137,-0.25813791155815125,0.5687687397003174,-0.2088579535484314,0.054666392505168915,-0.40025901794433594,0.20874033868312836,0.4064219295978546,0.47854843735694885,-0.24406814575195312,0.11988876760005951,-0.3420839309692383,-0.2447839081287384,-0.5701048374176025,0.5630991458892822,-1.9912421703338623,-3.5756173133850098,0.05128609389066696,0.21360795199871063,-0.38312608003616333,1.163727879524231,-1.2055891752243042,2.728269100189209,8.414689064025879,-9.539507865905762,0.13009601831436157,-42.286678314208984,-18.105093002319336,-15.554891586303711,2.2883613109588623,-15.248388290405273,-5.098119735717773,-2.32975172996521,6.126294136047363,-9.687370300292969
16,0.16,0.20000000298023224,0.021335363388061523,0.4656960666179657,0.04729488492012024,0.6007010340690613,0.003997167106717825,0.03356597200036049,0.028281038627028465,0.0407794713973999,0.04784926399588585,755.54248046875,111.04048919677734,-0.028330564498901367,-0.033240556716918945,0.4509865641593933,0.11516748368740082,-0.2565714120864868,0.584442138671875,-0.2169996052980423,0.06503572314977646,-0.39755383133888245,0.21918801963329315,0.4001706540584564,0.4865344762802124,-0.26401951909065247,0.11584131419658661,-1.2959617376327515,0.794166088104248,1.1504839658737183,0.26469188928604126,-1.0225729942321777,1.4912179708480835,0.3949563801288605,0.9929072856903076,-0.12991251051425934,0.6231607794761658,-0.6094298362731934,-1.7485181093215942,5.902927398681641,-8.387652397155762,2.438246011734009,-69.12567138671875,-13.16107177734375,-10.954923629760742,-0.23598840832710266,-25.434343338012695,-7.172337532043457,2.511361837387085,6.7061638832092285,-5.482512950897217
17,0.17,0.20000000298023224,0.040173642337322235,0.4497488737106323,0.09397033601999283,0.6009116172790527,0.005516261328011751,0.038270387798547745,0.02893664874136448,0.040795162320137024,0.049145348370075226,422.92669677734375,92.31697845458984,-0.0289151668548584,-0.029697418212890625,0.4316856265068054,0.12034846842288971,-0.2415924370288849,0.5772467255592346,-0.2179979681968689,0.07414697110652924,-0.38810575008392334,0.22832633554935455,0.3938278555870056,0.4884848892688751,-0.2628421187400818,0.10080976784229279,-1.873745083808899,0.49813374876976013,1.5135531425476074,-0.8452767133712769,-0.053631678223609924,1.6675608158111572,0.9675667881965637,0.8127331733703613,-0.6354883909225464,0.1299549788236618,-0.15296533703804016,-2.3973705768585205,8.479316711425781,-9.156886100769043,-5.40945291519165,-57.08357620239258,-15.544116973876953,-7.386045932769775,-1.1226409673690796,-29.760581970214844,-11.424996376037598,-2.934077739715576,5.6913580894470215,-3.6394591331481934
18,0.18,0.20000000298023224,0.050603922456502914,0.43195465207099915,0.08702868968248367,0.6015729904174805,0.006769155152142048,0.042483046650886536,0.029742982238531113,0.04095401242375374,0.050773076713085175,409.585693359375,56.84852981567383,-0.026627540588378906,-0.02436208724975586,0.41437628865242004,0.12386787682771683,-0.2292507141828537,0.5680827498435974,-0.22050167620182037,0.07970719784498215,-0.3807225823402405,0.23400212824344635,0.38793814182281494,0.48997119069099426,-0.2579783797264099,0.07884469628334045,-1.5348670482635498,0.3560820519924164,1.2097314596176147,-0.8724291324615479,-0.08605197072029114,1.546538233757019,0.5791381597518921,0.3696936070919037,-0.6047711372375488,0.1490582674741745,0.9578320384025574,-1.6653372049331665,9.689769744873047,-12.694300651550293,-3.404639720916748,-53.357032775878906,-18.211231231689453,-7.328852653503418,-1.2644094228744507,-27.960390090942383,-10.803526878356934,0.5958307385444641,4.279038906097412,-1.6147760152816772
19,0.19,0.20000000298023224,0.0587572380900383,0.4130916893482208,0.09054438024759293,0.6024826765060425,0.007793492637574673,0.046166613698005676,0.03058505244553089,0.04116799682378769,0.05229933559894562,400.07000732421875,38.371212005615234,-0.02320075035095215,-0.011947154998779297,0.4000663757324219,0.12571386992931366,-0.21991775929927826,0.5588448643684387,-0.22352369129657745,0.08323272317647934,-0.37638500332832336,0.23441863059997559,0.3791730999946594,0.49311235547065735,-0.2460251748561859,0.06265819072723389,-1.2395505905151367,0.18663156032562256,0.94139164686203,-0.8609208464622498,0.06638121604919434,1.4689178466796875,0.3395647406578064,-0.20729896426200867,-0.9586336612701416,0.3419526219367981,1.5210307836532593,-1.1344351768493652,7.183828353881836,-14.375717163085938,-4.857140064239502,-47.948543548583984,-17.992319107055664,-5.682010173797607,-1.3853075504302979,-25.049467086791992,-9.916882514953613,3.19643497467041,3.4712305068969727,-0.9753048419952393
